,Area,Perimeter,Compactness,Occlusivity,Min_radial,Volume,RayPortion_sky,RayPortion_obstacles,Betweenness_car,Betweenness_ped,subjective,objective,objective_discrete
60,1967.400177,265.2690761,0.351355508,128.5513913,3.560208119,408342.0,0.13424577699999998,0.453407106,5112740,2026,1,1.4333333330000002,2
61,2076.1892780000003,321.82007539999995,0.25375522,164.0917094,3.8338626419999997,393940.5,0.132498544,0.450786255,5112740,2026,1,1.066666667,0
62,2581.8711550000003,422.0569393,0.182138745,236.6957848,4.120889944,454005.0,0.14793244,0.42943117799999997,5112740,2026,1,1.466666667,2
63,1990.7877809999998,257.89370319999995,0.37614332,121.5987146,4.357161217,429739.0,0.14579693300000002,0.42613084799999995,5112740,2026,1,1.466666667,2
64,2077.1307070000003,284.3701646,0.322779267,131.1696469,4.593432094,416462.0,0.143079014,0.421277422,5112740,2026,1,1.4333333330000002,2
65,2104.613953,312.52943250000004,0.270769949,128.8176972,4.413386893,473891.0,0.160357212,0.39506891899999996,5112740,2026,1,1.533333333,3
66,2183.186325,298.23091150000005,0.308457514,133.3737153,3.09280942,457870.0,0.15511551199999998,0.429625315,5112740,2026,1,1.4333333330000002,2
67,3095.114059,474.90363099999996,0.17245490100000002,165.8464717,3.646217258,540865.0,0.18210056300000002,0.389438944,5112740,2026,1,1.2,1
68,3952.398636,595.4090643,0.14010051199999998,227.82014759999998,5.690288616,666724.0,0.21801591899999997,0.323432343,5112740,2034,1,1.033333333,0
69,2873.3728109999997,561.1867529,0.114655025,156.9689988,8.737617018,689256.0,0.224810717,0.318675985,5091508,2034,1,1.4333333330000002,2
70,2132.454315,425.0074393,0.148340789,135.72970869999997,4.625530491,703552.5,0.22888759399999997,0.33265385399999997,5091508,2034,1,1.2,1
71,1803.446357,238.6859739,0.39779564,85.98109282,4.186975046000001,613600.0,0.201125995,0.376043487,5091508,1868,2,1.3,1
72,1814.1012879999998,239.2528004,0.398251423,85.04297421,3.998660605,571912.0,0.185983304,0.397398563,5091508,1868,2,1.166666667,0
73,1865.1416629999999,241.88787250000001,0.400583907,128.80567,3.9575162919999998,579546.0,0.18753640100000002,0.398563386,5091508,1868,2,1.066666667,0
74,1912.7025600000002,242.759452,0.407854263,118.55579409999999,4.611727567,593649.0,0.18928363399999998,0.397398563,5091508,1868,1,1.4,2
75,1949.5101170000003,240.22645010000002,0.42451565399999996,114.63026090000001,3.8281957280000003,605348.0,0.193360513,0.39409823299999996,5091508,1868,1,1.333333333,2
76,1984.354752,241.7186525,0.426784709,109.8852486,3.944891495,611985.0,0.194719472,0.394680645,5091508,1868,1,1.166666667,0
77,2058.222687,242.7719358,0.438839046,111.1937152,4.388836396,614371.0,0.19510774600000003,0.39448650700000004,5091508,1868,1,1.1,0
78,2109.2441710000003,243.96731290000002,0.445321267,112.66677859999999,4.04827448,614798.0,0.194913609,0.39429237,5091508,1868,1,1.5666666669999998,3
79,2222.6830370000002,248.6806258,0.45165160299999996,112.57734909999999,4.810340686,608361.0,0.193166375,0.396039604,5091508,1868,1,1.3666666669999998,2
80,2318.200157,250.1750555,0.46544694799999997,113.3722373,3.977585368,604584.0,0.192583964,0.396622016,5091508,1868,1,1.0,0
81,2499.886673,267.5481195,0.438860385,120.00398740000001,4.42175546,615900.0,0.196660843,0.391380315,5091508,1868,1,1.133333333,0
